Figure name,Description
XXX_polarity_change_pie_plot.pdf,"A pie plot of the distribution of the replacement mutations that lead to amino-acid polarity change, relative to the number of mutations that did not, in the repertoire"
XXX_polarity_target_bar_plot.pdf,A bar plot of the number of mutations that lead to polar/non-polar amino acids in the repertoire
XXX_polarity_target_box_plot.pdf,A box plot of the number of mutations that lead to polar/non-polar amino acids per tree
XXX_polarity_target_pie_plot.pdf,A pie plot of the distribution of mutations that lead to polar/non-polar amino acids in the repertoire
XXX_polarity_source_bar_plot.pdf,A bar plot of the number of mutations that start from polar/non-polar amino acids in the repertoire
XXX_polarity_source_box_plot.pdf,A box plot of the number of mutations that start from polar/non-polar amino acids per tree
XXX_polarity_source_pie_plot.pdf,A pie plot of the distribution of mutations that start from polar/non-polar amino acids in the repertoire
XXX_volume_change_bar_plot.pdf,"A bar plot of the number of replacement mutations that lead to amino-acid volume change, relative to the number of mutations that did not, in the repertoire"
XXX_volume_change_box_plot.pdf,"A box plot of the number of replacement mutations that lead to amino-acid volume change, relative to the number of mutations that did not, per tree"
XXX_volume_change_pie_plot.pdf,"A pie plot of the distribution of the replacement mutations that lead to amino-acid volume change, relative to the number of mutations that did not, in the repertoire"
XXX_volume_target_bar_plot.pdf,A bar plot of the number of mutations that lead to very large/large/medium/small/very small amino acids in the repertoire
XXX_volume_target_box_plot.pdf,A box plot of the number of mutations that lead to very large/large/medium/small/very small amino acids per tree
XXX_volume_target_pie_plot.pdf,A pie plot of the distribution of mutations that lead to very large/large/medium/small/very small amino acids in the repertoire
XXX_volume_source_bar_plot.pdf,A bar plot of the number of mutations that start from very large/large/medium/small/very small amino acids in the repertoire
XXX_volume_source_box_plot.pdf,A box plot of the number of mutations that start from very large/large/medium/small/very small amino acids per tree
XXX_volume_source_pie_plot.pdf,A pie plot of the distribution of mutations that start from very large/large/medium/small/very small amino acids in the repertoire
